word,phonetic,sentence,chinese
twist,/twɪst/,She gave the lid a firm twist to open the jar.,v. 扭，拧；使弯曲；歪曲，曲解 n. 扭，拧；弯曲处；意想不到的转折
trivial,/ˈtrɪviəl/,Don't waste time on trivial details.,adj. 琐碎的，不重要的；平凡的
try,/traɪ/,I will try my best to finish the project on time.,v. 尝试，努力；试验；审讯，审判 n. 尝试，努力
tumble,/ˈtʌmbəl/,The child took a tumble on the playground but wasn't hurt.,v. 跌倒，摔倒；翻滚；暴跌 n. 跌倒；混乱的一堆
turbulent,/ˈtɜːrbjələnt/,The plane flew through a patch of turbulent air.,adj. 骚乱的，动荡的；汹涌的，湍流的；（气流）不稳定的
turn,/tɜːrn/,Please turn left at the next traffic light.,v. 转动，旋转；转向；变成 n. 转动；转弯；轮流，轮班
turnover,/ˈtɜːrnoʊvər/,The company has a high employee turnover rate.,n. 营业额；人事变更率；翻倒
type,/taɪp/,What type of music do you like best?,n. 类型，种类；典型 v. 打字
typical,/ˈtɪpɪkəl/,This is a typical example of Gothic architecture.,adj. 典型的，有代表性的；一贯的，平常的
voluntary,/ˈvɑːlənteri/,She does voluntary work at the local animal shelter.,adj. 自愿的，志愿的；无偿的 n. （教堂礼拜中的）即兴演奏
